,PRIOR_01,PRIOR_03,MENTOR_01,MENTOR_04,MENTOR_05,ACCESS_02,ACCESS_02_10_TEXT,START,TIME_IN_PROGRAM,MENTOR_08,END,CLUSTER_SIZE,HUB_01
0,"Prior to this academic term (Fall 2025), did you have any previous formal research experience?","How many emails and/or applications did you send before you obtained
your first formal research position?","Prior to this program, have you had a research mentor?","Complete the sentence: 'It is most important to me that...'  Choose up
to three options.","Complete the sentence: 'It is most important to me that...'  Choose up
to three options.","How did you hear about this program at the Discovery Hubs? Please
select all that apply. - Selected Choice","How did you hear about this program at the Discovery Hubs? Please
select all that apply. - Other - Text",Earliest Discovery Hubs pre-survey date,Number of semesters in program,,,,
1,"{""ImportId"":""QID21""}","{""ImportId"":""QID38""}","{""ImportId"":""QID31""}","{""ImportId"":""QID40""}","{""ImportId"":""QID39""}","{""ImportId"":""QID53""}","{""ImportId"":""QID53_10_TEXT""}",,,,,,
2,Yes,10+,No,"My mentor is an active listener.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.",Other,a PhD student,2025_10_01,2.0,3-4 hrs/week,2026_05_16,4.0,Kavli ENSI
3,Yes,3,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions appropriately.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor provides thoughtful advice on my scholarly work.","A department email,The Discovery Opportunities Database",,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,4.0,Social Sciences
4,Yes,2,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor takes a sincere interest in my career.,My mentor is supportive of work-life balance.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.","A friend or acquaintance,A department email",,2025_10_01,2.0,3-4 hrs/week,2026_05_16,4.0,Kavli ENSI
5,Yes,2,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor provides thoughtful advice on my scholarly work.",The Discovery Opportunities Database,,2026_02_28,1.0,1-2 hrs/wk,2026_05_16,,Molecular Foundry
6,Yes,4,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.",A department email,,2025_10_01,2.0,"More than zero, but less than one hour per week",2026_05_16,3.0,Kavli ENSI
7,Yes,10+,Yes,"My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.","A class at Berkeley,A friend or acquaintance,A campus event/seminar or conference,Golden Bear Orientation",,2025_10_01,2.0,3-4 hrs/week,2026_05_16,5.0,NASA Biosciences
8,Yes,1,Yes,"My mentor is an active listener.,My mentor acknowledges my contributions appropriately.,My mentor is supportive of work-life balance.","My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.",Other,My mentor,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,6.0,CICI
9,Yes,1,Yes,"My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.",Other,My research group,2025_10_01,1.0,1-2 hrs/wk,2025_12_13,,Molecular Foundry
10,Yes,2,No,"My mentor is an active listener.,My mentor takes a sincere interest in my career.,My mentor motivates me to improve my work.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor provides thoughtful advice on my scholarly work.",A department email,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,2.0,Kavli ENSI
11,Yes,3,No,"My mentor is generally available to meet or talk when I need them.,My mentor takes a sincere interest in my career.,My mentor is supportive of work-life balance.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.",A class at Berkeley,,2025_10_01,1.0,1-2 hrs/wk,2025_12_13,2.0,Kavli ENSI
12,Yes,1,Yes,"My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions appropriately.,My mentor is supportive of work-life balance.",My mentor provides thoughtful advice on my scholarly work.,A department email,,2025_10_01,2.0,,2026_05_16,6.0,CICI
13,Yes,1,Yes,"My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions appropriately.,My mentor is supportive of work-life balance.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.",A department email,,2026_02_28,1.0,More than 5 hrs/week,2026_05_16,,Molecular Foundry
14,Yes,1,Yes,My mentor is generally available to meet or talk when I need them.,My mentor demonstrates professional expertise.,A friend or acquaintance,,2025_10_01,2.0,,2026_05_16,8.0,CICI
15,Yes,2,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.",The Discovery Opportunities Database,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,,Molecular Foundry
16,Yes,1,No,"My mentor is generally available to meet or talk when I need them.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor provides thoughtful advice on my scholarly work.",A department email,,2026_02_28,1.0,,2026_05_16,,KALX
17,No,,No,"My mentor is generally available to meet or talk when I need them.,My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions appropriately.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.","A department email,Other",Email from past teacher,2025_10_01,2.0,3-4 hrs/week,2026_05_16,4.0,CICI
